name,type,contract,tier,cores,pcores,mem,region,price,ACU,SSD,MaxNics,Bandwidth,MaxDataDiskCount,MaxDataDiskSizeGB,MaxDataDiskIops,MaxDataDiskThroughputMBs,MaxVmIops,MaxVmThroughputMBs,ResourceDiskSizeInMB,TempDiskSizeInGB,TempDiskIops,TempDiskReadMBs,TempDiskWriteMBs,SAPS2T,SAPS3T,HANA,Hyperthreaded,OfferName,_id,price_USD,price_EUR,price_GBP,price_AUD,price_JPY,price_CAD,price_DKK,price_CHF,price_SEK,price_IDR,price_INR,burstable
a0,vm,payg,standard,1,1,0.75,korea-central,0.02,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-korea-central-payg,0.02,0.016866000000000003,0.01490618,0.025474,2.04,0.024318,0.125868,0.018062,0.157424,273.2,1.321925,No
a0,vm,payg,standard,1,1,0.75,korea-south,0.018,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-korea-south-payg,0.018,0.0151794,0.013415561999999999,0.0229266,1.8359999999999999,0.021886199999999998,0.1132812,0.016255799999999997,0.1416816,245.88,1.1897324999999999,No
a0,vm,payg,standard,1,1,0.75,south-india,0.018,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-south-india-payg,0.018,0.0151794,0.013415561999999999,0.0229266,1.8359999999999999,0.021886199999999998,0.1132812,0.016255799999999997,0.1416816,245.88,1.1897324999999999,No
a0,vm,payg,standard,1,1,0.75,united-kingdom-south,0.022,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-united-kingdom-south-payg,0.022,0.0185526,0.016396798,0.0280214,2.2439999999999998,0.026749799999999997,0.1384548,0.0198682,0.1731664,300.52,1.4541175,No
a0,vm,payg,standard,1,1,0.75,united-kingdom-west,0.022,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-united-kingdom-west-payg,0.022,0.0185526,0.016396798,0.0280214,2.2439999999999998,0.026749799999999997,0.1384548,0.0198682,0.1731664,300.52,1.4541175,No
a0,vm,payg,standard,1,1,0.75,us-central,0.02,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-us-central-payg,0.02,0.016866000000000003,0.01490618,0.025474,2.04,0.024318,0.125868,0.018062,0.157424,273.2,1.321925,No
a0,vm,payg,standard,1,1,0.75,us-east,0.02,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-us-east-payg,0.02,0.016866000000000003,0.01490618,0.025474,2.04,0.024318,0.125868,0.018062,0.157424,273.2,1.321925,No
a0,vm,payg,standard,1,1,0.75,us-east-2,0.02,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-us-east-2-payg,0.02,0.016866000000000003,0.01490618,0.025474,2.04,0.024318,0.125868,0.018062,0.157424,273.2,1.321925,No
a0,vm,payg,standard,1,1,0.75,usgov-arizona,0.018,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-usgov-arizona-payg,0.018,0.0151794,0.013415561999999999,0.0229266,1.8359999999999999,0.021886199999999998,0.1132812,0.016255799999999997,0.1416816,245.88,1.1897324999999999,No
a0,vm,payg,standard,1,1,0.75,usgov-iowa,0.018,86,No,2,100,1,4096,500,60,500,60,20480,20,12000,187,93,-2,-2,-2,No,linux-a0-standard,linux-a0-standard-usgov-iowa-payg,0.018,0.0151794,0.013415561999999999,0.0229266,1.8359999999999999,0.021886199999999998,0.1132812,0.016255799999999997,0.1416816,245.88,1.1897324999999999,No
