Name,Type,PricePerHourPAYG,PricePerHourLP,ACU,CoreFactor,CoreFactorIndex,SSD,NumberOfCores,MemoryInMB,MaxNics,Bandwidth,MaxDataDiskCount,MaxDataDiskSizeGB,MaxDataDiskIops,MaxDataDiskThroughputMBs,MaxVmIops,MaxVmThroughputMBs,ResourceDiskSizeInMB,TempDiskSizeInGB,TempDiskIops,TempDiskReadMBs,TempDiskWriteMBs,SAPS2T,SAPS3T,HANA,Hyperthreaded
Standard_GS3,VM,2.362,0.331,180,1440, 1.64 ,Yes,8,114688,4,8000,32,131072,240000,8000,20000,500,229376,224,64000,512,Unknown,11870,137520,Not Supported,No
Standard_GS4,VM,4.723,0.662,180,2880, 1.64 ,Yes,16,229376,8,6000 - 16000+,64,262144,480000,16000,40000,1000,458752,448,5000,125,Unknown,22680,247880,Not Supported,No
Standard_GS5,VM,8.425,1.319,180,5760, 1.46 ,Yes,32,458752,8,20000 (AN),64,262144,480000,16000,80000,2000,917504,896,10000,250,Unknown,41670,Request,Not Supported,No
Standard_H16,VM,1.889,0.296,290,4640, 0.41 ,No,16,114688,4,Unknown,64,262144,32000,3840,32000,3840,2048000,2000,20000,500,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_H16m,VM,2.53,0.396,290,4640, 0.55 ,No,16,229376,4,Unknown,64,262144,32000,3840,32000,3840,2048000,2000,40000,1000,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_H16mr,VM,2.078,0.325,290,4640, 0.45 ,No,16,229376,4,Unknown,64,262144,32000,3840,32000,3840,2048000,2000,80000,2000,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_H16r,VM,2.783,0.435,290,4640, 0.60 ,No,16,114688,4,Unknown,64,262144,32000,3840,32000,3840,2048000,2000,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_H8,VM,0.945,0.148,290,2320, 0.41 ,No,8,57344,2,Unknown,32,131072,16000,1920,16000,1920,1024000,1000,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_H8m,VM,1.265,0.198,290,2320, 0.55 ,No,8,114688,2,Unknown,32,131072,16000,1920,16000,1920,1024000,1000,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_L16s,VM,1.255,Not Available,180,2880, 0.44 ,Yes,16,131072,8,6000 - 16000+,64,262144,480000,16000,20000,500,2874368,2807,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_L32s,VM,2.51,Not Available,180,5760, 0.44 ,Yes,32,262144,8,20000,64,262144,480000,16000,40000,1000,5765120,5630,80000,800,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_L4s,VM,0.314,Not Available,180,720, 0.44 ,Yes,4,32768,2,4000,16,65536,120000,4000,5000,125,694272,678,160000,1600,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_L8s,VM,0.628,Not Available,180,1440, 0.44 ,Yes,8,65536,4,8000,32,131072,240000,8000,10000,250,1421312,1388,80000,800,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_M128m,VM,Unknown,Unknown,160,20480, Unknown ,No,128,1952000,32,Unknown,64,262144,480000,16000,80000,2000,4096000,4000," 20,000.00 ", 100.00 ,Unknown,134630,Request,Not Supported,Yes
Standard_M128s,VM,Unknown,Unknown,160,20480, Unknown ,Yes,128,2048000,32,25000,64,262144,480000,16000,80000,2000,4096000,4000," 20,000.00 ", 100.00 ,Unknown,Not Supported,Not Supported,Not Supported,Yes
Standard_M64ms,VM,Unknown,Unknown,160,10240, Unknown ,Yes,64,1792000,32,16000,64,262144,480000,16000,40000,1000,2048000,2000," 20,000.00 ", 50.00 ,Unknown,68930,Request,Not Supported,No
Standard_NC12,VM,Unknown,Unknown,Unknown,Unknown, Unknown ,No,12,114688,Unknown,Unknown,48,196608,24000,2880,24000,2880,696320,680," 35,294.12 ", 81.60 ,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_NC24,VM,Unknown,Unknown,Unknown,Unknown, Unknown ,No,24,229376,Unknown,Unknown,64,262144,32000,3840,32000,3840,1474560,1440," 22,222.22 ", 172.80 ,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_NC24r,VM,Unknown,Unknown,Unknown,Unknown, Unknown ,No,24,229376,Unknown,Unknown,64,262144,32000,3840,32000,3840,1474560,1440," 22,222.22 ", 172.80 ,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_NC6,VM,Unknown,Unknown,Unknown,Unknown, Unknown ,No,6,57344,Unknown,Unknown,24,98304,12000,1440,12000,1440,389120,380," 31,578.95 ", 45.60 ,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_NV12,VM,2.303,0.369,Unknown,Unknown, Unknown ,No,12,114688,Unknown,Unknown,48,196608,24000,2880,24000,2880,696320,680," 35,294.12 ", 81.60 ,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_NV24,VM,4.605,0.738,Unknown,Unknown, Unknown ,No,24,229376,Unknown,Unknown,64,262144,32000,3840,32000,3840,1474560,1440," 22,222.22 ", 172.80 ,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_NV6,VM,1.156,0.185,Unknown,Unknown, Unknown ,No,6,57344,Unknown,Unknown,24,98304,12000,1440,12000,1440,389120,380," 31,578.95 ", 45.60 ,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_E2_v3,VM,0.135,Not Available,Unknown,Unknown, Unknown ,No,2,16384,2,moderate,4,16384,2000,240,3000,46,Unknown,32,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_E4_v3,VM,0.27,Not Available,Unknown,Unknown, Unknown ,No,4,32768,2,moderate,8,32768,4000,480,6000,93,Unknown,64,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_E8_v3,VM,0.54,Not Available,Unknown,Unknown, Unknown ,No,8,65536,4,high,16,65536,8000,960,12000,187,Unknown,128,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_E16_v3,VM,1.08,Not Available,Unknown,Unknown, Unknown ,No,16,131072,4,high,32,131072,16000,1920,24000,375,Unknown,256,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_E32_v3,VM,2.159,Not Available,Unknown,Unknown, Unknown ,No,32,262144,8,extremely high,64,262144,32000,3840,48000,750,Unknown,512,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_E64_v3,VM,4.07,Not Available,Unknown,Unknown, Unknown ,No,64,442368,8,extremely high,64,262144,32000,3840,96000,1000,Unknown,868,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_D2_v3,VM,0.102,Not Available,Unknown,Unknown, Unknown ,No,2,8192,2,moderate,4,16384,2000,240,2000,3000,Unknown,50,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,Yes
Standard_D4_v3,VM,0.203,Not Available,Unknown,Unknown, Unknown ,No,4,16384,2,moderate,8,32768,4000,480,4000,6000,Unknown,100,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,Yes
Standard_D8_v3,VM,0.405,Not Available,Unknown,Unknown, Unknown ,No,8,32768,4,high,16,65536,8000,960,8000,12000,Unknown,200,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,Yes
Standard_D16_v3,VM,0.81,Not Available,Unknown,Unknown, Unknown ,No,16,65536,8,high,32,131072,16000,1920,16000,24000,Unknown,400,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,Yes
Standard_D32_v3,VM,1.62,Not Available,Unknown,Unknown, Unknown ,No,32,131072,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
Standard_D64_v3,VM,3.239,Not Available,Unknown,Unknown, Unknown ,No,64,262144,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
Standard_D2s_v3,VM,0.102,Not Available,Unknown,Unknown, Unknown ,Yes,2,8192,2,moderate,4,16384,2000,240,4000,32,Unknown,50,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,Yes
Standard_D4s_v3,VM,0.203,Not Available,Unknown,Unknown, Unknown ,Yes,4,16384,2,moderate,8,32768,4000,480,8000,64,Unknown,100,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,Yes
Standard_D8s_v3,VM,0.405,Not Available,Unknown,Unknown, Unknown ,Yes,8,32768,4,high,16,65536,8000,960,16000,128,Unknown,200,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,Yes
Standard_D16s_v3,VM,0.81,Not Available,Unknown,Unknown, Unknown ,Yes,16,65536,8,high,32,131072,16000,1920,32000,256,Unknown,400,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,Yes
Standard_D32s_v3,VM,1.62,Not Available,Unknown,Unknown, Unknown ,Yes,32,131072,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
Standard_D64s_v3,VM,3.239,Not Available,Unknown,Unknown, Unknown ,Yes,64,262144,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
Standard_E2s_v3,VM,0.135,Not Available,Unknown,Unknown, Unknown ,Yes,2,16384,2,moderate,4,16384,2000,240,4000,32,Unknown,32,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_E4s_v3,VM,0.27,Not Available,Unknown,Unknown, Unknown ,Yes,4,32768,2,moderate,8,32768,4000,480,8000,64,Unknown,64,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_E8s_v3,VM,0.54,Not Available,Unknown,Unknown, Unknown ,Yes,8,65536,4,high,16,65536,8000,960,16000,128,Unknown,128,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_E16s_v3,VM,1.08,Not Available,Unknown,Unknown, Unknown ,Yes,16,131072,4,high,32,131072,16000,1920,32000,256,Unknown,256,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_E32s_v3,VM,2.159,Not Available,Unknown,Unknown, Unknown ,Yes,32,262144,8,extremely high,64,262144,32000,3840,64000,512,Unknown,512,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_E64s_v3,VM,4.07,Not Available,Unknown,Unknown, Unknown ,Yes,64,442368,8,extremely high,64,262144,32000,3840,128000,1024,Unknown,868,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
