Name,Type,PricePerHourPAYG,PricePerHourLP,ACU,CoreFactor,CoreFactorIndex,SSD,NumberOfCores,MemoryInMB,MaxNics,Bandwidth,MaxDataDiskCount,MaxDataDiskSizeGB,MaxDataDiskIops,MaxDataDiskThroughputMBs,MaxVmIops,MaxVmThroughputMBs,ResourceDiskSizeInMB,TempDiskSizeInGB,TempDiskIops,TempDiskReadMBs,TempDiskWriteMBs,SAPS2T,SAPS3T,HANA,Hyperthreaded
Standard_D2,VM,0.142,0.023,160,320, 0.44 ,No,2,7168,2,1000,8,32768,4000,480,4000,480,102400,100,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_D2_v2,VM,0.115,0.02,210,420, 0.27 ,No,2,7168,2,1500,8,32768,4000,480,4000,480,102400,100,6000,93,46,Not Supported,Not Supported,Not Supported,No
Standard_D3,VM,0.284,0.046,160,640, 0.44 ,No,4,14336,4,2000,16,65536,8000,960,8000,960,204800,200,12000,187,93,Not Supported,Not Supported,Not Supported,No
Standard_D3_v2,VM,0.23,0.039,210,840, 0.27 ,No,4,14336,4,3000,16,65536,8000,960,8000,960,204800,200,24000,375,187,Not Supported,Not Supported,Not Supported,No
Standard_D4,VM,0.567,0.091,160,1280, 0.44 ,No,8,28672,8,4000,32,131072,16000,1920,16000,1920,409600,400,48000,750,375,Not Supported,Not Supported,Not Supported,No
Standard_D4_v2,VM,0.459,0.078,210,1680, 0.27 ,No,8,28672,8,6000,32,131072,16000,1920,16000,1920,409600,400,96000,1500,750,Not Supported,Not Supported,Not Supported,No
Standard_D5_v2,VM,0.917,0.155,210,3360, 0.27 ,No,16,57344,8,6000 - 12000+,64,262144,32000,3840,32000,3840,819200,800,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_DS1,VM,0.071,0.011,160,160, 0.44 ,Yes,1,3584,2,500,4,16384,30000,1000,3200,32,7168,7,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_DS1_v2,VM,0.058,0.01,210,210, 0.28 ,Yes,1,3584,2,750,4,16384,30000,1000,3200,48,7168,7,Unknown,Unknown,Unknown,Not Supported,Not Supported,Not Supported,No
Standard_DS11,VM,0.189,0.03,160,320, 0.59 ,Yes,2,14336,2,1000,8,32768,60000,2000,6400,64,28672,28,Unknown,Unknown,Unknown,2325,Request,Not Supported,No
Standard_DS11_v2,VM,0.161,0.026,210,420, 0.38 ,Yes,2,14336,2,1500,8,32768,60000,2000,6400,96,28672,28,Unknown,Unknown,Unknown,3530,Request,Not Supported,No
